domains,counts
"'GGDEF', 'GAF'",1
'GABAperm',1
"'Fer4_7', 'Fer4'",1
'Fer4_9',1
"'Ferric_reduct', 'PA_CoA_Oxy5'",1
"'Flavin_Reduct', 'pcaR_pcaU'",1
'FmdA_AmdA',1
'FrhG',1
'Fructosamin_kin',1
"'FtsX', 'PpiC_rel_mature'",1
"'GAF', 'GAF_2'",1
'GGDEF',1
"'GAF', 'GAF_2', 'PaaX'",1
"'GG-red-SF', 'ANTAR'",1
"'GG-red-SF', 'COQ6'",1
"'GG-red-SF', 'FAD_binding_2', 'Trp_halogenase'",1
"'GG-red-SF', 'GMC_oxred_N'",1
"'GG-red-SF', 'Thi4'",1
"'GG-red-SF', 'UDP-GALP_mutase'",1
"'GG-red-SF', 'nadB'",1
"'HTH_18', 'DUF6597'",1
"'HTH_18', 'HTH_AraC'",1
'HTH_20',1
'IMPACT_YIGZ',1
"'HisKA_3', 'HATPase_c_2', 'GAF_2'",1
"'HisKA_3', 'HATPase_c_2', 'Kazal_3'",1
"'HisKA_3', 'HSCB_C'",1
"'HisKA_3', 'LD_lanti_pre'",1
'His_Phos_1',1
'HpaR',1
'HpnZ_proposed',1
'Hydrolase_3',1
"'IMS', 'DNA_pol_lambd_f'",1
"'HisKA_3', 'HATPase_c'",1
'IclR',1
"'IclR', 'HTH_IclR'",1
"'KR', 'PP-binding', 'RhaD_aldol-ADH', 'benzo_BadH'",1
"'KR', 'Thioesterase', 'PP-binding', 'Hydrolase_4'",1
'L-ribulokinase',1
'LMWPc',1
'LPG_synthase_TM',1
'Lactonase',1
"'HisKA_3', 'HATPase_c_2', 'DUF1294'",1
"'HisKA_3', 'GAF', 'HATPase_c'",1
"'HTH_20', 'GntR'",1
"'HTH_8', 'ntrC'",1
"'HTH_20', 'Sigma70_r4_2'",1
"'HTH_24', 'HTH_AsnC-type', 'MarR', 'HTH_23'",1
"'HTH_24', 'HTH_AsnC-type', 'MarR', 'Sigma70_r4', 'HTH_Tnp_ISL3', 'TrmB'",1
"'HTH_3', 'HTH_26', 'Utp14', 'HTH_31'",1
"'HTH_3', 'HTH_28'",1
"'HTH_30', 'HTH_28', 'GGDEF_2', 'TOBE'",1
"'HTH_30', 'HTH_38'",1
'HTH_42',1
"'HTH_AsnC-type', 'AsnC_trans_reg', 'MarR'",1
'HisKA',1
"'HTH_AsnC-type', 'AsnC_trans_reg', 'MarR', 'Sigma70_r4', 'HTH_11'",1
"'HTH_AsnC-type', 'HTH_24', 'HTH_Tnp_ISL3', 'Sigma70_r4'",1
"'HTH_AsnC-type', 'MarR', 'Sigma70_r4', 'TrmB', 'HTH_Tnp_ISL3', 'Fe_dep_repress'",1
"'HTH_AsnC-type', 'MarR', 'TrmB'",1
"'HTH_AsnC-type', 'MarR', 'TrmB', 'Sigma70_r4'",1
"'HTH_AsnC-type', 'MarR_2', 'HTH_20'",1
'HbpS-like',1
'Hfq',1
"'zf-HC2', 'YtpI'",1
