,prot_1,prot_2,counts
1552,alpha_am_amid,Rv0697,9
1553,mycofactocin,Acyl-CoA_dh_N,9
1554,Mycofactocin_RRE,Acyl-CoA_dh_N,9
1555,mycofact_rSAM,Acyl-CoA_dh_N,9
1556,SDR_subfam_1,Fer4_2,9
1557,Cupin_2,actino_HemFlav,9
1558,Mycofactocin_RRE,Creatininase,9
1559,Asp_Glu_race,mycofact_glyco,9
1560,AA-adenyl-dom,Rv0697,9
1561,efflux_EmrB,HTH_Tnp_ISL3,9
1562,HTH_24,HTH_AsnC-type,9
1563,mycofact_glyco,PE,9
1564,Mycofactocin_RRE,ABC2_membrane,9
1565,mycofactocin,ABC2_membrane,9
1566,NUDIX,actino_HemFlav,9
1567,GAF,VWA_CoxE,9
1568,TrmB,actino_HemFlav,9
1569,HNH,mycofact_rSAM,9
1570,AsnC_trans_reg,Reductase_C,9
1571,mycofact_OYE_2,drrA,9
1572,rpsJ_bact,mycofact_glyco,9
1573,rpsJ_bact,DUF2332,9
1574,Asp_Glu_race,Reductase_C,9
1575,PP-binding,DNA_alkylation,9
1576,alpha_am_amid,DNA_alkylation,9
1577,mycofactocin,PqqA,9
1578,Mycofactocin_RRE,AAA_30,9
1579,Mycofactocin_RRE,PqqA,9
1580,mycofactocin,AAA_30,9
1581,mycofact_rSAM,PqqA,9
1582,AAA_30,AAA_5,9
1583,AA-adenyl-dom,DNA_alkylation,9
1584,GAF,TetR_C_1,9
1585,BioC,HisKA_3,9
1586,mycofactocin,HTH_8,9
1587,mycofact_OYE_2,FeFe_hydrog_B1,9
1588,GG-red-SF,FeFe_hydrog_B1,9
1589,mycofact_creat,PE,9
1590,mycofact_rSAM,BioC,9
1591,mycofact_creat,PqqA,9
1592,Condensation,DNA_alkylation,9
1593,mycofact_TetR,PqqA,9
1594,GAF,DNA_alkylation,9
1595,mycofact_rSAM,DUF5826,9
1596,ntrC,Mycofactocin_RRE,9
1597,Polyketide_cyc2,am_tr_V_VC1184,9
1598,FAD_binding_3,efflux_Bcr_CflA,9
1599,Mycofactocin_RRE,HTH_8,9
1600,HTH_AsnC-type,SDR_subfam_1,9
1601,Asp_Glu_race,DDAH_eukar,9
1602,SDR_subfam_1,SnoaL_2,9
1603,Usp,HTH_AsnC-type,9
1604,Rv0697,HTH_24,9
1605,AAA_5,Cob-chelat-sub,9
1606,rpsJ_bact,mycofactocin,9
1607,Hydrolase_4,mycofactocin,9
1608,HTH_11,mycofact_creat,9
1609,26Sp45,VWA_CoxE,9
1610,VWA_CoxE,Trans_reg_C,9
1611,Mycofactocin_RRE,Fer4_6,9
1612,DAO,ETF,9
1613,Aldedh,DUF779,9
1614,DUF779,mycofact_rSAM,9
1615,26Sp45,mycofact_rSAM,9
1616,DUF779,Mycofactocin_RRE,9
1617,Aldedh,NDMA_methanol,9
1618,mycofact_TetR,TetR_C_31,9
1619,HTH_11,mycofact_glyco,9
1620,Rv0697,Fer4_13,9
1621,mycofact_glyco,AAA_18,9
1622,26Sp45,Mycofactocin_RRE,9
1623,mft_etfB,DAO,9
1624,AAA_18,VWA_CoxE,9
1625,mycofact_rSAM,Fer4_6,9
1626,Hydrolase_4,mycofact_rSAM,9
1627,mycofactocin,Flavin_Reduct,9
1628,mycofact_glyco,TrmB,9
1629,Aldedh,GerE,9
1630,Hydrolase_4,Mycofactocin_RRE,9
1631,26Sp45,mycofactocin,9
1632,Fer4_2,TetR_N,9
1633,mycofactocin,Fer4_6,9
1634,DUF779,mycofactocin,9
1635,LysR_substrate,AAA_5,8
1636,MbtH,Rv0697,8
1637,actino_HemFlav,Flavin_Reduct,8
1638,Pyr_redox_2,HTH_23,8
1639,alpha_am_amid,GAF,8
1640,mycofact_OYE_1,FeFe_hydrog_B1,8
1641,GAF_2,Methyltransf_11,8
1642,Ac_CoA_lig_AcsA,Fe-ADH,8
1643,mycofact_rSAM,BPD_transp_2,8
1644,mycofactocin,COXG,8
1645,mycofact_creat,COXG,8
1646,TrmB,Pyr_redox_2,8
1647,RuvB_N,Mycofactocin_RRE,8
1648,SHOCT,TetR_C_11,8
1649,Mycofactocin_RRE,COXG,8
1650,mycofact_OYE_2,MFS_1,8
1651,HTH_23,mycofact_OYE_2,8
1652,NUDIX,SDR_subfam_2,8
1653,mycofact_rSAM,COXG,8
1654,RuvB_N,mycofact_rSAM,8
1655,PEP_resp_reg,Mycofactocin_RRE,8
1656,AAA_5,RuvB_N,8
1657,rpsJ_bact,mycofact_TetR,8
1658,TrmB,Reductase_C,8
1659,TrmB,mycofact_creat,8
1660,protocat_pcaD,mycofact_TetR,8
1661,protocat_pcaD,mycofact_creat,8
1662,FAD_binding_3,TetR_N,8
1663,ETF_alpha,mycofact_creat,8
1664,MbtH,DNA_alkylation,8
1665,FeFe_hydrog_B1,ETF,8
1666,Ribonuc_L-PSP,mycofact_TetR,8
1667,GGDEF,mycofact_glyco,8
1668,mycofact_TetR,HTH_1,8
1669,SDR_subfam_1,PE,8
1670,bpMoxR,mycofactocin,8
1671,Reductase_C,SPW,8
1672,adh_short_C2,Pyr_redox_2,8
1673,MbtH,glut_race,8
1674,glut_race,Reductase_C,8
1675,mycofact_rSAM,HTH_8,8
1676,Isochorismatase,PqqA,8
1677,HTH_Tnp_ISL3,AsnC_trans_reg,8
1678,PhyH,mycofactocin,8
1679,adh_short,NDMA_methanol,8
1680,LysR_substrate,VWA_CoxE,8
1681,Ac_CoA_lig_AcsA,AAA_5,8
1682,Fer4_2,Fer4_6,8
1683,mycofact_creat,AAA,8
1684,GAF,glut_race,8
1685,ntrC,mycofact_glyco,8
1686,mycofact_glyco,Flavin_Reduct,8
1687,mycofact_glyco,Acyl-CoA_dh_1,8
1688,DUF222,HNH,8
1689,AMP-binding,GAF,8
1690,ECH_1,adh_short_C2,8
1691,Gpr1_Fun34_YaaH,Response_reg,8
1692,rpsJ_bact,Pyr_redox_2,8
1693,AAA_18,AAA_5,8
1694,mycofact_TetR,Acyl-CoA_dh_N,8
1695,MbtH,mycofact_rSAM,8
1696,AA-adenyl-dom,GAF,8
1697,PP-binding,glut_race,8
1698,GAF,AAA_5,8
1699,mycofact_glyco,CbbQ_C,8
1700,AAA_5,SelP_N,8
1701,Gpr1_Fun34_YaaH,mycofactocin,8
1702,NDMA_methanol,SelP_N,8
1703,TrmB,TetR_N,8
1704,HATPase_c,actino_HemFlav,8
1705,mft_etfB,mycofact_glyco,8
1706,Mycofactocin_RRE,SelP_N,8
1707,TetR_N,HTH_IclR,8
1708,mycofact_creat,Aldo_ket_red,8
1709,CbbQ_C,Methyltransf_11,8
1710,nickel_nikB,Mycofactocin_RRE,8
1711,alpha_am_amid,glut_race,8
1712,mycofact_glyco,NAD_binding_8,8
1713,nickel_nikB,mycofact_rSAM,8
1714,RutR,mycofact_rSAM,8
1715,HTH_AsnC-type,MarR_2,8
1716,Gpr1_Fun34_YaaH,mycofact_glyco,8
1717,DUF4442,mycofact_glyco,8
1718,Polyketide_cyc2,Transp_cyt_pur,8
1719,mycofact_rSAM,SelP_N,8
1720,Pyrid_ox_like,Transp_cyt_pur,8
1721,SelP_N,VWA_CoxE,8
1722,MaoC_dehydratas,Mycofactocin_RRE,8
1723,mycofactocin,greA,8
1724,mycofactocin,SelP_N,8
1725,nickel_nikB,mycofactocin,8
1726,HTH_11,TetR_N,8
1727,mycofact_creat,NAD_binding_8,8
1728,SelP_N,Response_reg,8
1729,Trans_reg_C,GerE,8
1730,VWA_CoxE,Aldo_ket_red,8
1731,mycofact_rSAM,greA,8
1732,RutR,mycofactocin,8
1733,CO_dehy_Mo_lg,DUF952,8
1734,protocat_pcaD,TetR_N,8
1735,SelP_N,GerE,8
1736,RutR,Mycofactocin_RRE,8
1737,NDMA_methanol,Trans_reg_C,8
1738,SDR_subfam_2,adk,8
1739,TrmB,MarR,8
1740,TetR_N,GerE,8
1741,Abhydrolase_1,mycofact_TetR,8
1742,mycofactocin,Pyr_redox_3,8
1743,PGDH,Rv0697,8
1744,SnoaL_2,TetR_N,8
1745,TetR_C_24,mycofact_creat,8
1746,PGDH,actino_HemFlav,8
1747,adh_short,TetR_N,8
1748,mycofact_rSAM,Amidohydro_3,8
1749,DUF4442,actino_HemFlav,8
1750,AAA_16,AAA_5,8
1751,HATPase_c,mycofact_glyco,8
1752,Pyr_redox_2,PE,8
1753,ABC2_membrane,drrA,8
1754,DUF4442,mycofact_rSAM,8
1755,DUF4442,mycofact_creat,8
1756,RuvB_N,mycofactocin,8
1757,HTH_38,SDR_subfam_2,8
1758,HATPase_c,Fe-ADH,8
1759,Gpr1_Fun34_YaaH,NDMA_methanol,8
1760,HTH_11,mycofact_TetR,8
1761,RuvB_N,actino_HemFlav,8
1762,HTH_AsnC-type,TrmB,8
1763,mycofact_TetR,phnR_burk,8
1764,TetR_C_1,mycofact_creat,8
1765,Condensation,GAF,8
1766,FAD_binding_3,mycofact_OYE_1,8
1767,mycofactocin,Amidohydro_3,8
1768,SDR_subfam_1,PGDH,8
1769,CO_dehy_Mo_lg,Phosphodiest,8
1770,mycofact_MftB,SDR_subfam_1,8
1771,mycofact_rSAM,Sigma70_r4_2,8
1772,Rv0697,AMP-binding_C,8
1773,mycofact_TetR,TetR_C_14,8
1774,AAA_5,Trans_reg_C,8
1775,HisKA_3,Trans_reg_C,8
1776,Rv0697,GerE,8
1777,Usp,mycofact_glyco,8
1778,mycofact_TetR,Fer4_13,8
1779,Polyketide_cyc2,VWA_CoxE,8
1780,Gpr1_Fun34_YaaH,AAA_5,8
1781,Acetyltransf_1,mycofact_TetR,8
1782,bpMoxR,mycofact_rSAM,8
1783,HTH_Tnp_ISL3,Sig70_famx2,8
1784,mycofactocin,BPD_transp_2,8
1785,Rv0697,MFS_1,8
1786,Pyrid_ox_like,PqqA,8
1787,Ac_CoA_lig_AcsA,SDR_subfam_2,8
1788,AAA,Response_reg,8
1789,mycofactocin,DoxX,8
1790,TetR_N,VWA_2,8
1791,Usp,Pyr_redox_2,8
1792,SDR_subfam_1,Methyltransf_23,8
1793,AAA_5,26Sp45,8
1794,Mycofactocin_RRE,DoxX,8
1795,CYP450_TxtE,AsnC_trans_reg,8
1796,2A0306,actino_HemFlav,8
1797,am_tr_V_VC1184,Transp_cyt_pur,8
1798,mycofact_glyco,Bac_luciferase,8
1799,adh_short_C2,PA_CoA_Oxy5,8
1800,mycofact_TetR,greA,8
1801,Mycofactocin_RRE,BPD_transp_2,8
1802,Gpr1_Fun34_YaaH,VWA_CoxE,8
1803,PP-binding,GAF,8
1804,AA-adenyl-dom,glut_race,8
1805,Beta-lactamase,actino_HemFlav,8
1806,DUF952,Acetyltransf_1,8
1807,AAA,HisKA_3,8
1808,Gpr1_Fun34_YaaH,GerE,8
1809,mycofact_creat,Acyl-CoA_dh_M,8
1810,SDR_subfam_1,Peripla_BP_2,8
1811,actino_HemFlav,DoxX,8
1812,HTH_AsnC-type,DUF222,8
1813,mycofact_TetR,HTH_30,8
1814,2A0306,mycofact_TetR,8
1815,Fer4_13,Fer4_6,8
1816,MbtH,PA_CoA_Oxy5,8
1817,mycofactocin,SBP_bac_5,8
1818,adh_short,VWA_CoxE,8
1819,Reductase_C,DUF5826,8
1820,Pyr_redox_2,DUF222,8
1821,mycofact_creat,Bac_luciferase,8
1822,Cob-chelat-sub,actino_HemFlav,8
1823,actino_HemFlav,Acyl-CoA_dh_N,8
1824,actino_HemFlav,Bac_luciferase,8
1825,mycofact_creat,TetR_C_33,8
1826,VWA_CoxE,Pyrid_ox_like,8
1827,Peripla_BP_2,Transp_cyt_pur,8
1828,AMP-binding_C,Rxyl_3153,8
1829,2A0306,mycofact_rSAM,8
1830,mycofactocin,Sigma70_r4_2,8
1831,TetR_N,AsnC_trans_reg,8
1832,DUF222,TetR_N,8
1833,UPF0225,mycofact_glyco,8
1834,mycofact_creat,BioC,8
1835,Polyketide_cyc2,efflux_Bcr_CflA,8
1836,SDR_subfam_2,Acyl-CoA_dh_1,8
1837,efflux_Bcr_CflA,Isochorismatase,8
1838,mycofactocin,HTH_5,8
1839,PhyH,Mycofactocin_RRE,8
1840,actino_HemFlav,HTH_29,8
1841,Gpr1_Fun34_YaaH,Mycofactocin_RRE,8
1842,Response_reg,Trans_reg_C,8
1843,mycofact_rSAM,SBP_bac_5,8
1844,DUF2332,PE,8
1845,Aldedh,Response_reg,8
1846,Mycofactocin_RRE,HAMP,8
1847,actino_HemFlav,AAA_18,8
1848,VWA_CoxE,Peripla_BP_2,8
1849,Usp,Reductase_C,8
1850,Mycofactocin_RRE,SBP_bac_5,8
1851,MbtH,mycofact_glyco,8
1852,Gpr1_Fun34_YaaH,HisKA_3,8
1853,DUF779,GerE,8
1854,AAA_5,bpMoxR,8
1855,mycofact_TetR,Fer4_6,8
1856,Polyketide_cyc2,SDR_subfam_1,8
1857,Condensation,glut_race,8
1858,MbtH,mycofactocin,8
1859,2A0306,mycofactocin,8
1860,Thioesterase,AMP-binding,8
1861,betaine_BetI,Rv0697,8
1862,PAS_4,Mycofactocin_RRE,8
1863,Gpr1_Fun34_YaaH,mycofact_rSAM,8
1864,MbtH,Mycofactocin_RRE,8
1865,AAA,GerE,8
1866,Usp,actino_HemFlav,8
1867,AMP-binding,Rxyl_3153,8
1868,mycofact_rSAM,DoxX,8
1869,actino_HemFlav,BioC,8
1870,3oxo_ACP_reduc,mycofactocin,8
1871,MaoC_dehydratas,mycofact_rSAM,8
1872,AA-adenyl-dom,SPW,7
1873,mycofact_TetR,MerR,7
1874,AMP-binding,AcCoA-C-Actrans,7
1875,TetR_C_33,actino_HemFlav,7
1876,HTH_38,AAA_5,7
1877,mycofactocin,AbiEi_1,7
1878,TPR_MalT,mycofactocin,7
1879,mft_etfB,FeFe_hydrog_B1,7
1880,Reductase_C,Rv1155_F420,7
1881,TetR_N,PGDH,7
1882,mycofactocin,DprA_WH,7
1883,AA-adenyl-dom,Pyr_redox_2,7
1884,mycofact_rSAM,AbiEi_1,7
1885,mycofactocin,tdh,7
1886,CoA_transf_3,RskA,7
1887,Mycofactocin_RRE,Peripla_BP_6,7
1888,Mycofactocin_RRE,tdh,7
1889,mycofact_rSAM,ABM,7
1890,Reductase_C,PE,7
1891,Glyoxalase_6,P450_cycloAA_1,7
1892,mycofactocin,Methyltransf_19,7
1893,AcCoA-C-Actrans,SDR_subfam_2,7
1894,mycofact_TetR,HTH_7,7
1895,mycofact_rSAM,Methyltransf_19,7
1896,Mycofactocin_RRE,Amidohydro_3,7
1897,nickel_nikC,mycofactocin,7
1898,gas_vesic_GvpN,Rxyl_3153,7
1899,mycofactocin,RskA,7
1900,cyc_hxne_CoA_dh,ECH_1,7
1901,alpha_am_amid,TetR_C_1,7
1902,FCD,Mycofactocin_RRE,7
1903,TPR_MalT,Mycofactocin_RRE,7
1904,Mycofactocin_RRE,Pyr_redox_3,7
1905,TPR_MalT,mycofact_rSAM,7
1906,mycofactocin,TAT_signal_seq,7
1907,Malic_M,actino_HemFlav,7
1908,Mycofactocin_RRE,Methyltransf_19,7
1909,LysR_substrate,NDMA_methanol,7
1910,Mycofactocin_RRE,AraC_binding_2,7
1911,HTH_24,MarR,7
1912,COesterase,TetR_N,7
1913,AAA_30,actino_HemFlav,7
1914,SDR_subfam_1,CobT_C,7
1915,actino_HemFlav,Amidohydro_3,7
1916,Glyoxalase,mycofact_creat,7
1917,Acetyltransf_1,AAA_5,7
1918,Fe-ADH,SelP_N,7
1919,DUF222,efflux_EmrB,7
1920,DUF222,CYP450_TxtE,7
1921,mycofact_rSAM,Creatininase,7
1922,APH,mycofact_glyco,7
1923,PP-binding,mycofact_TetR,7
1924,GAF,Pyr_redox_2,7
1925,PP-binding,TetR_C_1,7
1926,SDR_subfam_2,Acyl-CoA_dh_N,7
1927,GAF,SPW,7
1928,quinone_pig3,actino_HemFlav,7
1929,Condensation,SPW,7
1930,Ribonuc_L-PSP,SDR_subfam_1,7
1931,TetR_C_11,HTH_Tnp_ISL3,7
1932,MbtH,AA-adenyl-dom,7
1933,MbtH,alpha_am_amid,7
1934,MCM,mycofact_glyco,7
1935,Mycofactocin_RRE,SigE-fam_strep,7
1936,Pyr_redox_2,MarR_2,7
1937,mycofact_glyco,Pyr_redox_3,7
1938,AA-adenyl-dom,TetR_C_1,7
1939,alpha_am_amid,Pyr_redox_2,7
1940,Asp_Glu_race,Glyoxalase_6,7
1941,MbtH,SPW,7
1942,Condensation,Pyr_redox_2,7
1943,mycofact_glyco,HTH_29,7
1944,TPR_MalT,mycofact_glyco,7
1945,mycofact_TetR,HTH_5,7
1946,HTH_AsnC-type,PhyH,7
1947,mycofact_OYE_1,Fe-ADH,7
1948,Asp_Glu_race,Sigma70_r4,7
1949,mycofactocin,Peripla_BP_6,7
1950,mycofact_rSAM,Peripla_BP_6,7
1951,SHOCT,PE,7
1952,mycofact_rSAM,HTH_5,7
1953,PhyH,mycofact_TetR,7
1954,MbtH,Condensation,7
1955,actino_HemFlav,HTH_7,7
1956,Sigma70_r4,PhyH,7
1957,Pyr_redox_2,PhyH,7
1958,MbtH,PP-binding,7
1959,pcaR_pcaU,Aldedh,7
1960,PhyH,mycofact_rSAM,7
1961,Thioesterase,mycofact_TetR,7
1962,Condensation,TetR_C_1,7
1963,PP-binding,SPW,7
1964,FAD_binding_3,mycofact_OYE_2,7
1965,Thioesterase,mycofact_glyco,7
1966,mycofact_rSAM,SigE-fam_strep,7
1967,AMP-binding,DNA_alkylation,7
1968,mycofact_TetR,Glyoxalase,7
1969,ligase_PEP_1,PP-binding,7
1970,AMP-binding_C,AcCoA-C-Actrans,7
1971,Gpr1_Fun34_YaaH,mycofact_creat,7
1972,Mycofactocin_RRE,TAT_signal_seq,7
1973,mycofact_glyco,COXG,7
1974,Mycofactocin_RRE,Sigma70_r4_2,7
1975,mycofact_creat,Flavin_Reduct,7
1976,TetR_C_24,mycofact_TetR,7
1977,HNH,actino_HemFlav,7
1978,SPW,SDR_subfam_1,7
1979,mycofact_rSAM,DprA_WH,7
1980,actino_HemFlav,SigE-fam_strep,7
1981,actino_HemFlav,MerR,7
1982,Mycofactocin_RRE,Tex_YqgF,7
1983,Methyltransf_23,mycofact_creat,7
1984,efflux_EmrB,Asp_Glu_race,7
1985,FCD,mycofactocin,7
1986,MbtH,TetR_N,7
1987,actino_HemFlav,Fer4_2,7
1988,ligase_PEP_1,AA-adenyl-dom,7
1989,Polyketide_cyc2,actino_HemFlav,7
1990,Phosphodiest,AAA_5,7
1991,mycofactocin,SigE-fam_strep,7
1992,mycofact_creat,Acyl-CoA_dh_N,7
1993,mycofact_glyco,SigE-fam_strep,7
1994,mycofact_TetR,ABC2_membrane,7
1995,rpsJ_bact,SDR_subfam_1,7
1996,mycofact_glyco,HxlR,7
1997,mycofact_OYE_1,HTH_23,7
1998,Reductase_C,MarR_2,7
1999,Fer4,TetR_N,7
2000,AAA_5,gas_vesic_GvpN,7
2001,alpha_am_amid,SPW,7
2002,AMP-binding,Pyr_redox_2,7
2003,PP-binding,Pyr_redox_2,7
2004,Fer4_13,P450_cycloAA_1,7
2005,HNH,Methyltransf_11,7
2006,adh_short,AAA_5,7
2007,2A0306,Pyr_redox_2,7
2008,SDR_subfam_1,HTH_31,7
2009,mycofact_rSAM,TAT_signal_seq,7
2010,Mycofactocin_RRE,MmgE_PrpD_C,7
2011,CobN-Mg_chel,mycofact_rSAM,7
2012,SpoIIE,mycofact_rSAM,7
2013,mycofact_glyco,EutB,7
2014,CobN-Mg_chel,mycofact_TetR,7
2015,TetR_N,TetR_C_6,7
2016,DUF779,AAA_5,7
2017,Thioesterase,TetR_N,7
2018,DUF1707,mycofact_TetR,7
2019,mycofact_creat,TAT_signal,7
2020,AHSA1,mycofact_OYE_1,7
2021,mycofact_creat,EutB,7
2022,NDMA_methanol,26Sp45,7
2023,betaine_BetI,Pyr_redox_2,7
2024,Mycofactocin_RRE,BPD_transp_1,7
2025,actino_HemFlav,EutB,7
2026,Acetyltransf_1,VWA_CoxE,7
2027,SDR_subfam_2,HATPase_c_2,7
2028,Rv0697,SnoaL_2,7
2029,Mycofactocin_RRE,MmgE_PrpD,7
2030,GntR,AAA_5,7
2031,mycofact_glyco,FA_desaturase,7
2032,WD40,actino_HemFlav,7
2033,CobN-Mg_chel,mycofactocin,7
2034,mycofactocin,MmgE_PrpD_C,7
2035,malic,actino_HemFlav,7
2036,DUF1707,mycofact_rSAM,7
2037,DUF1707,Mycofactocin_RRE,7
2038,Fe-ADH,Trans_reg_C,7
2039,SDR_subfam_2,HTH_AsnC-type,7
2040,actino_HemFlav,bpMoxR,7
2041,mycofact_TetR,DprA_WH,7
2042,sensory_box,Mycofactocin_RRE,7
2043,Abhydrolase_6,SDR_subfam_1,7
2044,Phosphodiest,VWA_CoxE,7
2045,mycofact_creat,Glycos_transf_2,7
2046,Glycos_transf_2,mycofactocin,7
2047,CO_dehy_Mo_lg,VWA_CoxE,7
2048,mycofact_rSAM,RskA,7
2049,mycofact_creat,HTH_28,7
2050,Mycofactocin_RRE,AbiEi_1,7
2051,sensory_box,mycofactocin,7
2052,Glycos_transf_2,actino_HemFlav,7
2053,mycofact_glyco,SEC-C,7
2054,mycofact_rSAM,Mg_chelatase,7
2055,mycofact_rSAM,MLTR_LBD,7
2056,am_tr_V_VC1184,SDR_subfam_1,7
2057,WD40,mycofactocin,7
2058,Usp,AsnC_trans_reg,7
2059,mycofactocin,MLTR_LBD,7
2060,AAA_5,Methyltransf_23,7
2061,Mycofactocin_RRE,Mg_chelatase,7
2062,mycofactocin,Mg_chelatase,7
2063,MbtH,Pyr_redox_2,7
2064,SpoIIE,mycofactocin,7
2065,Glycos_transf_2,mycofact_rSAM,7
2066,mycofact_glyco,HTH_8,7
2067,mycofact_rSAM,EutB,7
2068,sensory_box,mycofact_rSAM,7
2069,mycofact_TetR,AbiEi_1,7
2070,PAS_4,mycofactocin,7
2071,BioC,Fe-ADH,7
2072,AHSA1,HTH_20,7
2073,Mycofactocin_RRE,greA,7
2074,MmgE_PrpD,MmgE_PrpD_C,7
2075,TetR_C_6,mycofactocin,7
2076,Methyltransf_11,Acetyltransf_1,7
2077,TetR_C_6,actino_HemFlav,7
2078,mycofact_TetR,MLTR_LBD,7
2079,malic,Malic_M,7
2080,WD40,mycofact_rSAM,7
2081,DUF952,NDMA_methanol,7
2082,Malic_M,mycofact_glyco,7
2083,2A0306,HTH_AsnC-type,7
2084,Usp,2A0306,7
2085,2A0306,Orn_aminotrans,7
2086,AHSA1,mycofact_OYE_2,7
2087,GGDEF,actino_HemFlav,7
2088,FeFe_hydrog_B1,mycofact_TetR,7
2089,WD40,Mycofactocin_RRE,7
2090,TetR_C_6,mycofact_rSAM,7
2091,MaoC_dehydratas,mycofact_creat,7
2092,MaoC_dehydratas,actino_HemFlav,7
2093,Methyltransf_25,Trans_reg_C,7
2094,Usp,mycofact_creat,7
2095,2A0306,Reductase_C,7
2096,TetR_C_6,Mycofactocin_RRE,7
2097,2A0306,Mycofactocin_RRE,7
2098,Ac_CoA_lig_AcsA,Methyltransf_25,7
2099,mycofactocin,Tex_YqgF,7
2100,AAA_5,BioC,7
2101,malic,mycofact_glyco,7
2102,mycofact_rSAM,2A0106,7
2103,HTH_Crp_2,mycofact_creat,7
2104,DUF952,AAA_5,7
2105,CO_dehy_Mo_lg,AAA_5,7
2106,CO_dehy_Mo_lg,mycofact_OYE_2,7
2107,DUF1707,mycofactocin,7
2108,mycofact_creat,DoxX,7
2109,mycofact_glyco,BioC,7
2110,Peripla_BP_2,PqqA,7
2111,mycofact_TetR,DoxX,7
2112,GntR,SDR_subfam_2,7
2113,MerR_1,mycofactocin,7
2114,SDR_subfam_1,DoxX,7
2115,mycofactocin,MmgE_PrpD,7
2116,BioC,Methyltransf_11,7
2117,2A0306,DDAH_eukar,7
2118,AAA_30,mycofact_creat,7
2119,mycofact_glyco,DoxX,7
2120,MerR_1,Mycofactocin_RRE,7
2121,MerR_1,mycofact_rSAM,7
2122,SDR_subfam_2,BioC,7
2123,FAD_binding_3,Isochorismatase,7
2124,mycofact_glyco,MmgE_PrpD_C,7
2125,Usp,DDAH_eukar,7
2126,actino_HemFlav,2A0106,7
2127,2A0106,mycofactocin,7
2128,mycofactocin,BPD_transp_1,7
2129,2A0106,Mycofactocin_RRE,7
2130,TetR_N,HTH_20,7
2131,adh_short,SDR_subfam_2,7
2132,Beta-lactamase,mycofact_creat,7
2133,Methyltransf_25,HATPase_c_2,7
2134,mycofact_OYE_2,Pyrid_ox_like,7
2135,Reductase_C,PGDH,7
2136,mycofact_glyco,HTH_7,7
2137,P450_rel_GT_act,Rv0697,7
2138,3oxo_ACP_reduc,Mycofactocin_RRE,7
2139,DUF779,VWA_CoxE,7
2140,Fe-ADH,GAF,7
2141,adh_short_C2,Aldedh,7
2142,3oxo_ACP_reduc,mycofact_rSAM,7
2143,Abhydrolase_1,mycofact_creat,7
2144,CoA_transf_3,Amidohydro_3,7
2145,Pyr_redox_2,PGDH,7
2146,Aldedh,HisKA_3,7
2147,DUF779,NDMA_methanol,7
2148,Pyr_redox_2,mycofact_MftB,7
2149,COesterase,SDR_subfam_1,7
2150,DoxX_3,RskA,7
2151,mycofact_glyco,Amidohydro_3,7
2152,EF-Tu,SHOCT,7
2153,mycofact_creat,SBP_bac_5,7
2154,mycofactocin,aprB,7
2155,efflux_EmrB,SDR_subfam_2,7
2156,PGDH,DUF2332,7
2157,Phosphodiest,NDMA_methanol,7
2158,PA_CoA_Oxy5,RskA,7
2159,CO_dehy_Mo_lg,NDMA_methanol,7
2160,TrmB,Rv0697,7
2161,RuvB_N,VWA_CoxE,7
2162,VWA_CoxE,HATPase_c,7
2163,Mycofactocin_RRE,bpMoxR,7
2164,DUF2332,CYP450_TxtE,7
2165,Mycofactocin_RRE,DprA_WH,7
2166,HisKA_3,SelP_N,7
2167,mycofact_creat,HTH_7,7
2168,Pyr_redox_2,RskA,7
2169,actino_HemFlav,CbbQ_C,7
2170,mycofact_creat,CbbQ_C,7
2171,TrmB,Sigma70_r4,7
2172,HTH_23,efflux_EmrB,7
2173,HTH_AsnC-type,HTH_23,7
2174,nickel_nikC,Mycofactocin_RRE,7
2175,nickel_nikC,mycofact_rSAM,7
2176,SDR_subfam_2,HTH_IclR,7
2177,GAF,NDMA_methanol,7
2178,mycofact_rSAM,Pyr_redox_3,7
2179,Mycofactocin_RRE,ABM,7
2180,Methyltransf_11,Methyltransf_23,7
2181,mycofact_creat,ETF,7
2182,DUF779,mycofact_creat,7
2183,bpMoxR,SDR_subfam_1,7
2184,ECH_1,Rv0697,7
2185,Usp,Orn_aminotrans,7
2186,Mycofactocin_RRE,RskA,7
2187,DUF952,VWA_CoxE,7
2188,DUF779,Response_reg,7
2189,mycofact_TetR,RskA,7
2190,mycofactocin,ABM,7
2191,Methyltransf_25,GAF_2,7
2192,mycofact_creat,RskA,7
2193,mycofact_OYE_1,DUF952,7
2194,GerE,gas_vesic_GvpN,7
2195,protocat_pcaD,SDR_subfam_1,7
2196,mycofact_glyco,SBP_bac_5,7
2197,Methyltransf_11,Methyltransf_25,7
2198,SDR_subfam_2,FeFe_hydrog_B1,7
2199,mycofact_glyco,MmgE_PrpD,7
2200,SDR_subfam_1,AAA_16,7
2201,CO_deh_flav_C,CO_dehy_Mo_lg,7
2202,Mycofactocin_RRE,MLTR_LBD,7
2203,SDR_subfam_1,Fer4_13,7
2204,mycofact_TetR,HTH_8,7
2205,ntrC,mycofact_rSAM,7
2206,Rv0697,Rxyl_3153,7
2207,DDAH_eukar,TrmB,7
2208,FAD_binding_5,CO_dehy_Mo_lg,7
2209,SDR_subfam_1,adh_short,7
2210,nickel_nikE,Mycofactocin_RRE,7
2211,mycofact_rSAM,LIP,7
2212,Glycos_transf_2,mycofact_TetR,7
2213,Mycofactocin_RRE,LIP,7
