,counts
DUF302,1
GSH_gloB,1
tRNA_sel_U_synt,1
F420_cofE,1
F420_cofD,1
Oxidored-like,1
DUF3320,1
DUF6605,1
CycNucDiestase,1
NACHT,1
SP,1
Amidase_2,1
Phenol_MetA_deg,1
GRDB,1
DAP_DH_C,1
STI1,1
Rsm22,1
Stc1,1
gnd_rel,1
4HB_MCP_1,1
protocat_alph,1
DICT,1
DUF3700,1
Peptidase_A8,1
DUF6476,1
benzo_BadH,1
tesB,1
DUF772,1
Nbas_N,1
NPR3,1
zf-NADH-PPase,1
LacY_symp,1
trpS,1
aden_deam,1
HTH_OrfB_IS605,1
Carbam_trans_N,1
TPP_enzyme_M,1
Glyco_hydro_2,1
fabD,1
nifA,1
pta,1
DUF5988,1
PGF-CTERM,1
AAA_26,1
cyclo_dehyd_2,1
DRTGG,1
FTCD_C,1
FTHFS,1
ksgA,1
PetG,1
UPF0014,1
SBP_bac_6,1
Paired_CXXCH_1,1
moaB_proteo,1
MoeA_N,1
DotU,1
Zeta_toxin,1
Methylase_S,1
HATPase_c_4,1
CobW_C,1
AlbA_2,1
RuMP_HxlA,1
AP_endonuc_2,1
Lactonase,1
SBP_KPN_01854,1
N6_Mtase,1
ribB,1
HsdM_N,1
GMC_oxred_N,1
DUF4096,1
Carbam_trans_C,1
PhoR,1
BchI-ChlI,1
Big_6,1
ACT_4,1
AlaDh_PNT_C,1
GldA_ABC_ATP,1
aroA,1
SLAC1,1
YkpC,1
gatC,1
YtpI,1
Sdh_cyt,1
HHH,1
trmU,1
TetR_C_13,1
MeaB,1
S4_2,1
F420_Rv3520c,1
Thioester-redct,1
Ketoacyl-synt_C,1
LacZ_4,1
Polbeta,1
TraG-D_C,1
TrwB_AAD_bind,1
DUF87,1
TrbL,1
DUF805,1
DUF6338,1
DUF4149,1
FGE-sulfatase,1
DUF2306,1
DUF2254,1
ACT_3,1
DUF1869,1
YvrJ,1
DUF6207,1
TGF_beta_GS,1
DUF4913,1
DUF4293,1
cit_synth_II,1
Arc,1
Ubiq_cyt_C_chap,1
LcrH_SycD,1
CBM_6,1
branching_enzym,1
HTH_PafC,1
WYL,1
DUF5013,1
C_GCAxxG_C_C,1
PemK_toxin,1
FimV_core,1
HTH_CodY,1
PaaX_trns_reg,1
CobG,1
OAFO_sf,1
LigXa_C,1
DUF5605,1
DivI1A_domain,1
leuA_yeast,1
Glyco_hydro_38C,1
Glyco_hydro_38N,1
MutL,1
ketoacyl-synt,1
MscL,1
CDP-OH_P_transf,1
bchC,1
PTPS,1
rib_alpha,1
chlorocat_1_2,1
DUF6611,1
mRNA_decap_C,1
AcnX_swivel_put,1
Glyco_hydro_2_C,1
Bgal_small_N,1
Alpha-mann_mid,1
Glyco_hydro38C2,1
OpuAC,1
beta_helix_1,1
F420_MSMEG_2256,1
kleA_kleC,1
GSDH,1
DUF6300,1
EVE,1
Glyco_hydro_12,1
YGGT,1
DUF429,1
DUF1540,1
DUF3318,1
hmgA,1
fum_ac_acetase,1
oxalate_oxc,1
oxalate_frc,1
Vir_act_alpha_C,1
Catalase,1
CbiK,1
MoaF_C,1
GNAT_like,1
choice_anch_B,1
Tir_receptor_C,1
flgA_cterm,1
AAA_8,1
MoaE,1
MatE,1
FixQ,1
cognate_SipW,1
Peptidase_M1,1
He_PIG,1
DUF4389,1
Trns_repr_metal,1
DUF4142,1
SPX,1
CorA,1
MoaF,1
asnS,1
Se_ssnA,1
IOR_beta,1
IOR_alpha,1
DUF6537,1
BLOC1_2,1
3-dmu-9_3-mt,1
DUF4716,1
FkbH,1
FMN_bind,1
NIF,1
trp_oprn_chp,1
ACPS,1
SigZ,1
HTH_40,1
CysD,1
YajC,1
CUE,1
DUF6214,1
pdxH,1
DPPIV_N,1
DUF6059,1
dienoyl_CoA_hyt,1
F420H2_quin_red,1
Abhydrolase_8,1
LonB_AAA-LID,1
DUF4052,1
Bac_globin,1
PA-IIL,1
Xan_ur_permease,1
DUF2387,1
TF_Zn_Ribbon,1
CM_2,1
DUF6261,1
HpnE,1
DUF3645,1
zf-HC3,1
YqgC,1
RecA,1
speE,1
propeller_TolB,1
S-methyl_trans,1
Zn_peptidase,1
DUF2162,1
GSP_synth,1
DUF350,1
SAM_DCase_Bsu,1
HrpB_C,1
lysA,1
NTP_transf_2,1
TIGR03843,1
TIGR03847,1
MSMEG_4193,1
Wzz,1
acid_CoA_mut_C,1
pepN_strep_liv,1
Lactate_perm,1
B_ant_repeat,1
nitrile_beta,1
thiocyan_alph,1
NHase_beta,1
xseA,1
GETHR,1
F420_Rv2161c,1
xseB,1
TFIID_30kDa,1
HTH_33,1
ovoA_Cterm,1
UbiG,1
MenG_MenH_UbiE,1
HalX,1
Rnk_N,1
MlaE,1
EspA_EspE,1
GABAperm,1
alk_sulf_monoox,1
DUF4244,1
zf-RanBP,1
NHLM_micro_ABC1,1
4_coum_CoA_lig,1
Rrf2,1
GC_trans_RRR,1
rpiB_lacA_lacB,1
BAAT_C,1
DUF1931,1
Ribosomal_L30_N,1
fdx_isc,1
SIR2_2,1
VI_IcmF,1
nuoF_fam,1
DUF5335,1
CARDB,1
TMEM138,1
glucan_glucosid,1
NAD_kinase_C,1
Cytochrom_C552,1
DUF4918,1
F420_G6P_family,1
selen_PSTK,1
DUF4166,1
PMT_4TMC,1
TIGR00096,1
PTE,1
RCC1,1
RCC1_2,1
cdk7,1
SecA2_Mycobac,1
SecA2_Bac_anthr,1
secA,1
trp_arylform,1
cytochr_NrfH,1
Rotamase_3,1
SurA_N_3,1
Acetyltransf_10,1
Ribosomal_L36,1
isochor_syn,1
HTH_57,1
NPCBM_assoc,1
SPC25,1
NPCBM,1
Lipocalin_2,1
Trigger_C,1
glycerol3P_DH,1
DUF4189,1
CD24,1
DUF3482,1
CLSTN_C,1
DUF680,1
mod_HExxH,1
T2SSM,1
PGA_cap,1
Colicin_V,1
Glyco_transf_22,1
Ribosomal_L4,1
Oxidored_q3,1
Proton_antipo_N,1
NDH_I_L,1
NDH_I_N,1
PKD_4,1
FtsJ,1
Ribosomal_S9,1
rplM_bact,1
SpoU_methylase,1
adh_fam_2,1
FoP_duplication,1
CLP_protease,1
Umbravirus_LDM,1
DUF6080,1
PEPcase,1
AidB_N,1
NOT-MenG,1
soxA,1
LYTB,1
PSD2,1
EutK_C,1
Mannitol_dh,1
Mannitol_dh_C,1
eda,1
myo_inos_iolC_N,1
PHD_4,1
pdxA,1
HTH_DeoR,1
DeoRC,1
NRPS_term_dom,1
ABC_choXWV_perm,1
DUF4398,1
DUF2382,1
DUF3097,1
Tmemb_185A,1
DUF5693,1
DUF5849,1
GT87,1
serC_3,1
PAC2,1
SQHop_cyclase_C,1
Pro-kuma_activ,1
Ceramidase_alk,1
Ceramidse_alk_C,1
Defensin_big,1
PetM,1
Secretin_N,1
SBP56,1
DUF6345,1
GreA_GreB,1
T2SSE_N,1
DUF2561,1
Flp1_like,1
Viral_helicase1,1
lp_hng_hel_AbrB,1
TctA,1
TctB,1
TctC,1
Cadherin-like,1
IPT,1
therm_gnt_kin,1
CDC48_2,1
RNA_replicase_B,1
UTRA,1
DUF2804,1
DctQ,1
AcetylCoA_hydro,1
butyr_acet_CoA,1
glyco_TIGR04182,1
F420_MSMEG_4879,1
fpg,1
pyrE,1
ATPgrasp_YheCD,1
RR_fam_repeat,1
modB_ABC,1
ModE_repress,1
modA,1
NTPase_1,1
HARE-HTH,1
PCDO_beta_N,1
Acetyltransf_4,1
ung,1
LacAB_rpiB,1
Androgen_recep,1
Lin0512_fam,1
CDC14,1
HpaG-C-term,1
Hfq,1
modC_ABC,1
COQ6,1
BCCT,1
Alginate_lyase2,1
ALC,1
DUF4286,1
glucar-dehydr,1
Cornifin,1
mutt,1
HlyD_D4,1
mobB,1
DUF1015,1
GCS2,1
SucB_Actino,1
ING,1
rSAM_NirJ,1
IlvN,1
DUF533,1
OH-pyruv-isom,1
fabF,1
ELFV_dehydrog_N,1
ADC,1
DUF6006,1
NHEJ_ligase_lig,1
amphi-Trp,1
T4SS_pilin,1
ELFV_dehydrog,1
ogt,1
Tecti-min-caps,1
Ribonucleas_3_2,1
chol_sulfatase,1
PQQ_3,1
PQQ,1
UPF0146,1
LPG_synthase_TM,1
argG,1
DUF2071,1
Radical_SAM_N2,1
Transposase_mut,1
Na_Pro_sym,1
HpaX,1
DUF1206,1
Rsa3,1
DTMP_kinase,1
DUF4347,1
MelC1,1
Glyco_transf_4,1
DUF6287,1
23dbph12diox,1
WWamide,1
GG_sam_targ_CFB,1
rSAM_Geo_metal,1
SCM_rSAM_ScmF,1
cmk,1
DUF945,1
GreA_GreB_N,1
CbiE,1
VWD,1
GYD,1
guaA_Cterm,1
tolA_full,1
rpoB,1
rpoC_TIGR,1
AraC_binding,1
DUF3048_C,1
DUF3048,1
MethyltransfD12,1
TRAP_alpha,1
glgC,1
glycerol3P_GlpA,1
zf-RVT,1
HNH_5,1
DUF808,1
TraW_N,1
guaA_Nterm,1
DUF2000,1
RNase_II_C_S1,1
F_bP_aldolase,1
DUF2723,1
YhcG_C,1
PLDc_N,1
ThrE,1
Gneg_AbrB_dup,1
AbrB,1
NPV_P10,1
Ribosomal_S30AE,1
PqqD_rel_X,1
DUF4187,1
tRNA_TsaA,1
Indigoidine_A,1
ribP_PPkin,1
short_TIGR02808,1
NTPase_P4,1
Peptidase_S15,1
PepX_C,1
DUF6223,1
E3_binding,1
DUF6204,1
crtI_fam,1
DUF3043,1
DUF4791,1
DUF3270,1
SlyX,1
Hc1,1
EMP70,1
DUF6704,1
DUF742,1
Ldl_recept_b,1
ATP_bind_1,1
CwsA,1
RGM_C,1
Peptidase_M91,1
pgm,1
tRNA_edit,1
ars_reduc_gluta,1
CyoC,1
ThuA,1
TTC,1
LLM_DMSO2_sfnG,1
Ad_Cy_reg,1
Diacid_rec,1
Peptidase_U4,1
DUF3556,1
CM_mono_cladeE,1
couple_hipB,1
dak_ATP,1
septum_zipA,1
LigD_PE_dom,1
LRR19-TM,1
2A1904,1
PALP,1
Tic110,1
PabB-fungal,1
Fer4_10,1
DUF2461,1
SbcC_Walker_B,1
mmdA,1
AAA_23,1
Exosortase_EpsH,1
SMC_prok_A,1
TSP_3,1
Dockerin_1,1
TSP3_bac,1
gentisate_1_2,1
VapB_antitoxin,1
Bradykinin,1
DUF3099,1
HTH_27,1
GntP_permease,1
DUF4194,1
DUF3375,1
rpiA,1
sms,1
TipAS,1
AveC_like,1
fa_ox_alpha_mit,1
HTH_34,1
Thioredoxin_7,1
thioredoxin,1
Methyltransf_2,1
Exo_endo_phos,1
PhnE,1
Redoxin,1
DUF1205,1
IU_nuc_hydro,1
DUF5073,1
FUSC_2,1
Nudix_N_2,1
TIGR00276,1
HpaA,1
NIR_SIR_ferr,1
his_ut_repres,1
Collagen_mid,1
Esterase,1
Glyco_tranf_2_5,1
Peptidase_M3_N,1
DUF3828,1
CxxCG_CxxCG_HTH,1
cobS,1
SSI,1
alaDH,1
DUF5994,1
FxSxx-COOH,1
YkuD,1
PG_binding_4,1
asp_race,1
HTH_41,1
CGP_CTERM,1
thiaz-red,1
HTH_47,1
DUF5122,1
Fasciclin,1
BchD-ChlD,1
2A0118,1
VTC,1
DUF4956,1
DUF11,1
TIGR00702,1
TMP-TENI,1
thiamin_ThiO,1
thiS,1
HSCB_C,1
antidote_HigA,1
HTH_37,1
DUF456,1
