,acc_cyt,domains,mycofactocin,Mycofactocin_RRE,mycofact_rSAM,mycofact_TetR,actino_HemFlav,mycofact_glyco,mycofact_creat,SDR_subfam_1,Rv0697,TetR_N,Pyr_redox_2,SDR_subfam_2,AAA_5,VWA_CoxE,Reductase_C,GerE,mycofact_OYE_2,Response_reg,NDMA_methanol,PA_CoA_Oxy5,HisKA_3,mycofact_OYE_1,Methyltransf_11,efflux_EmrB,Fe-ADH
WP_164699753.1,zzzz532,"['am_tr_V_VC1184', 'Atu4866', 'DUF389', 'Polyketide_cyc2', 'GGDEF', 'mycofact_TetR', 'DprA_WH', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'EAL', 'GGDEF', 'DUF4131', 'mycofact_creat', 'Peripla_BP_2', 'Ribosomal_L31', 'PadR', 'PaaX', 'Transp_cyt_pur']",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_163771248.1,zzzz619,"['Fer2', 'nqrF', 'CoA_transf_3', 'ECH_1', 'APH', 'Acyl-CoA_dh_1', 'Acyl-CoA_dh_M', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'SDR_subfam_2', 'DUF2613', 'AbiEi_4', 'AbiEi_1', 'TetR_C_24']",1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_155525757.1,zzzz696,"['HTH_3', 'Cupin_2', 'DUF664', 'fkbM_fam', 'AA-adenyl-dom', 'Condensation', 'alpha_am_amid', 'Thioesterase', 'PP-binding', 'AA-adenyl-dom', 'Condensation', 'alpha_am_amid', 'Baseplate_J', 'mycofact_TetR', 'HTH_23', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'NmrA', 'DUF5996', 'AAA_28', 'AvrD', 'omega_3_PfaA', 'KR', 'malonate_mdcH', 'crot-CoA-red', 'mycoS_dep_FDH', 'PT_fungal_PKS']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_202948845.1,zzzz700,"['ELFV_dehydrog', 'ELFV_dehydrog_N', 'RPE65', 'acyl_WS_DGAT', 'BD-FAE', 'VWA_CoxE', 'AAA_5', 'Rxyl_3153', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_OYE_1', 'mycofact_OYE_2', 'pyrE', 'fpg', 'Bac_luciferase', 'Aldedh']",1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
WP_172157266.1,zzzz715,"['Methyltransf_11', 'DUF6328', 'Peripla_BP_2', 'TAT_signal', 'VWA_CoxE', 'AAA_5', 'CbbQ_C', 'NDMA_methanol', 'DUF952', 'Acetyltransf_1', 'Acetyltransf_6', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_OYE_1', 'mycofact_OYE_2', 'mycofact_creat', 'RibD_C', 'Phosphodiest', 'mycofact_glyco', '4hydroxCoAred']",1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0
WP_003923362.1,zzzz772,"['EF-G', 'EF-Tu', 'SHOCT', 'SDR_subfam_1', 'Pyr_redox_2', 'Reductase_C', 'DUF2332', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'Rv0697', 'efflux_EmrB', 'TetR_N', 'mycofact_TetR', 'RelB', 'P450_cycloAA_1']",1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
WP_197910665.1,zzzz836,"['EF-G', 'EF-Tu', 'SHOCT', 'Ribosomal_60s', 'Pyr_redox_2', 'Reductase_C', 'DUF2332', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'Rv0697', 'TetR_N', 'mycofact_TetR', 'betaine_BetI', 'CYP450_TxtE']",1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WP_028929606.1,zzzz840,"['mycofact_glyco', 'Phosphodiest', 'AI-2E_transport', 'Lin0512_fam', 'mycofact_creat', 'mycofact_OYE_2', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'DUF952', 'Acetyltransf_1', 'Androgen_recep', 'Kinocilin', 'HATPase_c', 'Response_reg', 'GerE', 'FAD_binding_5', 'CO_deh_flav_C']",1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
WP_015443073.1,zzzz849,"['Peptidase_M16_C', 'Propep_M14', 'cysG_Nterm', 'APS_reductase', 'sir', 'cobA_cysG_Cterm', 'MOSC_N', 'amidohydrolases', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'Beta_helix', 'NosD_copper_fam', 'Beta_helix', 'NosD_copper_fam', 'G3P_acyltransf', 'adh_short_C2', 'Glyoxalase', 'AMP-binding', 'AMP-binding_C', 'DLH']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_179964787.1,zzzz858,"['CYP450_TxtE', 'TetR_N', 'HTH_7', 'efflux_EmrB', 'Rv0697', 'mycofact_glyco', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Co_AT_N', 'Sig70_famx2', 'Glyoxalase_6', 'Pyr_redox_2', 'Reductase_C', 'HTH_AsnC-type', 'MarR', 'Sigma70_r4', 'DDAH_eukar', 'Orn_aminotrans']",1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
WP_067115910.1,zzzzz14,"['SDR_subfam_1', 'Pyr_redox_2', 'Reductase_C', 'PGDH', 'Glyoxalase_6', 'Sig70_famx2', 'DUF2332', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'Rv0697']",1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WP_197690405.1,zzzzz67,"['Orn_aminotrans', 'DDAH_eukar', 'HTH_AsnC-type', 'MarR', 'Sigma70_r4', 'HTH_Tnp_ISL3', 'Pyr_redox_2', 'Glyoxalase_6', 'Sig70_famx2', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'Rv0697', 'CYP450_TxtE', 'CYP450_TxtE', 'CYP450_TxtE']",1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_015305006.1,zzzzz98,"['Orn_aminotrans', 'DDAH_eukar', 'HTH_AsnC-type', 'MarR', 'Sigma70_r4', 'TrmB', 'Pyr_redox_2', 'Reductase_C', 'Glyoxalase_6', 'Sig70_famx2', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'Rv0697', 'efflux_EmrB', 'TetR_N', 'TetR_C_11', 'CYP450_TxtE']",1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
WP_228096227.1,zzzz143,"['CYP450_TxtE', 'TetR_N', 'Rv0697', 'mycofact_glyco', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'HTH_23', 'PhyH', 'Sig70_famx2', 'Glyoxalase_6', 'Pyr_redox_2', 'Reductase_C', 'HTH_AsnC-type', 'MarR', 'Sigma70_r4', 'DDAH_eukar']",1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WP_213442849.1,zzzz144,"['ECH_1', 'DUF3060', 'rpsL_bact', 'rpsG_bact', 'EF-G', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_glyco', 'Rv0697', 'TetR_N', 'COesterase']",1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_163664222.1,zzzz170,"['CYP450_TxtE', 'TetR_N', 'efflux_EmrB', 'Rv0697', 'mycofact_glyco', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'PhyH', 'Sig70_famx2', 'Glyoxalase_6', 'Pyr_redox_2', 'Reductase_C', 'HTH_AsnC-type', 'MarR', 'Sigma70_r4', 'DDAH_eukar']",1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
WP_173489994.1,zzzz180,"['D-hydantoinase', 'prpB', 'phnR_burk', 'betA', 'mycofact_glyco', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'rSAM_for_selen', 'Mycofactocin_RRE', 'mycofactocin', 'Hva1_TUDOR', 'DUF3293', 'Chorismate_bind', 'GATase', 'DUF6290', 'HicB', 'DOC_P1', 'DapE-ArgE']",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_027507084.1,zzzz195,"['FecCD', 'Peripla_BP_2', 'DUF4010', 'DUF2723', 'Rv0697', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'Methyltransf_11', 'BioC', 'hemK_rel_arch', 'Response_reg', 'GerE', 'HTH_28', 'HisKA_3', 'GAF_2', 'Fe-ADH', 'VWA_CoxE', 'DUF732', 'gas_vesic_GvpN', 'NDMA_methanol']",1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1
WP_067395258.1,zzzz226,"['Fe-ADH', 'HisKA_3', 'HATPase_c_2', 'Response_reg', 'GerE', 'HTH_38', 'Methyltransf_25', 'VWA_CoxE', 'fvmX3', 'AAA_5', 'CbbQ_C', 'NDMA_methanol', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'SDR_subfam_2', 'mycofact_glyco', 'Ac_CoA_lig_AcsA', 'adk']",1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1
WP_153343114.1,zzzz272,"['Aldedh', 'Guanylate_cyc', 'Cornifin', 'actino_HemFlav', 'mycofact_glyco', 'SDR_subfam_2', 'mycofact_creat', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Lipase_GDSL_2', 'glucar-dehydr', 'efflux_Bcr_CflA', 'DUF4286', 'Abhydrolase_6', 'ALC']",1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_056536636.1,zzzz278,"['DSBA', 'Polyketide_cyc2', 'SmpB', 'Glyco_hydro_15', 'TREH_N', 'zwf', 'SigBFG', 'Sig-70_plancto1', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'SDR_subfam_2', 'mycofact_glyco', 'VWA_CoxE', 'AAA_5', 'Rxyl_3153']",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
WP_206040350.1,zzzz306,"['nickel_nikB', 'nickel_nikC', 'nickel_nikD', 'mycofact_OYE_2', 'SDR_subfam_1', 'mycofact_OYE_1', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Methyltransf_11', 'Flavodoxin_2', 'HxlR', 'Response_reg', 'GerE', 'HisKA_3', 'HATPase_c_2', 'Fe-ADH']",1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1
WP_226436237.1,zzzz469,"['mycofact_glyco', 'mycofact_creat', 'Acetyltransf_1', 'mycofact_OYE_2', 'SDR_subfam_1', 'mycofact_OYE_1', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Methyltransf_11', 'Response_reg', 'GerE', 'HisKA_3', 'DUF2604', 'Fe-ADH', 'DUF2871', 'integ_memb_HG']",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1
WP_192168856.1,zzzz477,"['Metallophos', 'DapE-ArgE', 'Chorismate_bind', 'GATase', 'DJ-1_PfpI', 'DUF3293', 'Hva1_TUDOR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'betA', 'phnR_burk', 'prpB', 'D-hydantoinase']",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_035850807.1,zzzz556,"['Arabinose_Isome', 'Arabinose_Iso_C', 'MCPsignal', '4HB_MCP_1', 'HAMP', 'AI-2E_transport', 'DUF4381', 'PE-PPE', 'GGDEF', 'Meth_synt_2', 'mycofact_glyco', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_OYE_1', 'SDR_subfam_1', 'SDR_subfam_1', 'AAA_5', 'MCM', 'VWA_2', 'marine_srt_targ', 'mycofact_OYE_2', 'ETF_alpha']",1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
WP_015746104.1,zzzz590,"['HisKA_3', 'GAF', 'Fe-ADH', 'mycofact_creat', 'mycofact_glyco', 'SDR_subfam_2', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'NDMA_methanol', 'AAA_5', 'RuvB_N', 'VWA_CoxE', 'DUF6415', 'CbiM', 'PDGLE', 'ECF_T_CbiQ']",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1
WP_037192610.1,zzzz643,"['Acetyltransf_1', 'TetR_N', 'RutR', 'mycofact_OYE_2', 'SDR_subfam_1', 'mycofact_OYE_1', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'TetR_N', 'Methyltransf_11', 'Methyltransf_23', 'Flavodoxin_2', 'HxlR', 'Response_reg', 'GerE', 'HisKA_3']",1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0
WP_085146506.1,zzzz666,"['HTH_AsnC-type', 'MarR', 'Sigma70_r4', 'Pyr_redox_2', 'Reductase_C', 'Glyoxalase_6', 'Sig70_famx2', 'PhyH', 'DUF2332', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'Rv0697', 'efflux_EmrB', 'TetR_N', 'TetR_C_16', 'CYP450_TxtE']",1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
WP_083275515.1,zzzz678,"['CydD', 'nickel_nikC', 'nickel_nikB', 'SBP_bac_5', 'SBP_bac_5', 'TAT_signal', 'DUF952', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'DUF6059', 'mycofact_OYE_2', 'efflux_EmrB', '2_A_01_02', 'mycofact_creat', 'Phosphodiest', 'mycofact_glyco', '4hydroxCoAred', 'CO_dehy_Mo_lg']",1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
WP_099383924.1,zzzz689,"['thiovirid_RiPP', 'Pyr_redox_2', 'DNA_alkylation', 'DivI1A_domain', 'PA_CoA_Oxy5', 'mycofact_TetR', 'cyc_hxne_CoA_dh', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'SDR_subfam_1', 'CoA_transf_3', 'mycofact_creat', 'mycofact_glyco', 'GMC_mycofac_2', 'Glycos_transf_2']",1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WP_055637871.1,zzzz767,"['adh_short_C2', 'CMD', 'decarb_PcaC', 'Aldedh', 'adh_short_C2', 'adh_short', 'Rv0697', 'mycofactocin', 'Mycofactocin_RRE', 'XdhC_C', 'XdhC_CoxI', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'Fer4_13', 'P450_cycloAA_1', 'SDR_subfam_1']",1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_219068546.1,zzzz822,"['HAD_2', 'HIBADH', 'cyc_hxne_CoA_dh', 'MMSDH', 'CFAP61_N', 'CopG_antitoxin', 'mycofactocin', 'DUF2080', 'Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_glyco', 'urea_carbox', 'Carboxyl_trans', 'ACC_central', 'PHA_synth_I', 'PHA_depoly_arom', 'fabH', 'Trans_reg_C', '3HCDH_RFF', 'Phenol_Hydrox', 'YHS']",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_119703377.1,zzzz844,"['HicB', 'RHH_1', 'Chorismate_bind', 'PabB-fungal', 'DUF3293', 'asp_race', 'Hva1_TUDOR', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'betA', 'phnR_burk', 'prpB', 'D-hydantoinase']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_084131809.1,zzzz874,"['pucE', 'FAD_binding_5', 'CO_deh_flav_C', 'mycofact_TetR', 'mycofact_glyco', 'SDR_subfam_2', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'rad_SAM_trio', 'Mycofactocin_RRE', 'mycofactocin', 'SDR_subfam_1', 'propeller_TolB', 'DPPIV_N', 'cztS_silS_copS', 'cztR_silR_copR', 'Peripla_BP_6', 'acolac_lg']",1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_066065362.1,zzzz884,"['mycofact_TetR', 'mycofact_glyco', 'SDR_subfam_2', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'CO_dehy_Mo_lg', 'CO_dehy_Mo_lg', 'FAD_binding_5', 'CO_deh_flav_C', 'pucE', 'COXG', 'SnoaL_4', 'Lumazine_bd_2', 'ECH_1']",1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_065014878.1,zzzzz96,"['CYP450_TxtE', 'TetR_N', 'betaine_BetI', 'RelB', 'efflux_EmrB', 'Rv0697', 'mycofact_glyco', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'DUF2332', 'Pyr_redox_2', 'Reductase_C', 'SDR_subfam_1', 'EF-Tu', 'EF-G', 'rpsG_bact']",1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
WP_149432389.1,zzzz123,"['Mycofactocin_RRE', 'mycofactocin', 'Methyltransf_25', 'Methyltransf_11', 'Response_reg', 'GerE', 'HisKA_3', 'HATPase_c_2', 'Fe-ADH', 'VWA_CoxE', 'AAA_5', 'MCM', 'NDMA_methanol']",1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1
WP_225835882.1,zzzz139,"['Fe-ADH', 'HisKA_3', 'HATPase_c', 'Response_reg', 'GerE', 'Methyltransf_11', 'BioC', 'VWA_CoxE', 'AAA_5', 'AAA', 'NDMA_methanol', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'SDR_subfam_2', 'mycofact_glyco', 'Ac_CoA_lig_AcsA', 'adk']",1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1
WP_183321139.1,zzzz187,"['3oxo_ACP_reduc', 'Aldo_ket_red', 'aconitase_1', 'Cupin_2', 'gas_vesic_GvpN', 'VWA_CoxE', 'Rxyl_3153', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'efflux_Bcr_CflA', 'MarR', 'HTH_24', 'LexA_DNA_bind', 'Pyridox_ox_2', 'Pyridox_ox_2', 'Usp', 'Usp', 'DUF2478', 'Pyridox_ox_2']",1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
WP_010837250.1,zzzz249,"['pimD_small', 'MaoC_dehydratas', 'Thiolase_N', 'MaoC_dehydratas', 'adh_short_C2', 'PA_CoA_Oxy5', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'Rv0697', 'AMP-binding', 'AMP-binding_C', 'TgpA_N', 'TetR_C_31', 'HARE-HTH']",1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WP_073420870.1,zzzz310,"['glucan_glucosid', 'Polyketide_cyc2', 'VWA_CoxE', 'AAA_5', 'TsaE', 'NDMA_methanol', 'am_tr_V_VC1184', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'SDR_subfam_1', 'SDR_subfam_1', 'Pyrid_ox_like', 'efflux_Bcr_CflA', 'mycofact_creat', 'Transp_cyt_pur', 'thia_cytX', 'Peripla_BP_2']",1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
WP_083165611.1,zzzz388,"['DDAH_eukar', 'HTH_AsnC-type', 'MarR', 'Sigma70_r4', 'Pyr_redox_2', 'Glyoxalase_6', 'Sig70_famx2', 'PhyH', 'mycofact_TetR', 'HTH_7', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'Rv0697', 'CYP450_TxtE', 'COesterase', 'SnoaL_2']",1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_157390319.1,zzzz427,"['MMPL', 'mycofact_TetR', 'FMO-like', 'DUF4254', 'TetR_N', 'TetR_C_32', 'TetR_C_14', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_creat', 'SDR_subfam_2', 'mycofact_glyco', 'actino_HemFlav', 'acyl_WS_DGAT', 'FdhD-NarQ', 'Fdhalpha-like']",1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_209306641.1,zzzz516,"['GntR', 'HTH_Crp_2', 'Tmemb_185A', 'DUF3097', 'DUF2382', 'AAA_5', 'AAA_3', 'VWA_CoxE', 'Umbravirus_LDM', 'XdhC_C', 'XdhC_CoxI', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'SDR_subfam_2', 'mycofact_glyco', 'HTH_3', 'HTH_28', 'CLP_protease', 'AMP-binding', 'AMP-binding_C']",1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
WP_219943835.1,zzzz549,"['Chlorophyllase2', 'PAF-AH_p_II', 'BD-FAE', 'XylB', 'Rxyl_3153', 'mycofact_creat', 'SDR_subfam_2', 'mycofact_glyco', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'CitMHS', 'ECH_1', 'AAA_19', 'UvrD_C_2', 'SigE-fam_strep']",1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_085910557.1,zzzz569,"['4hydroxCoAred', 'mycofact_glyco', 'Phosphodiest', 'PQQ_2', 'PQQ', 'PQQ_3', 'mycofact_creat', 'efflux_EmrB', 'MFS_1', 'mycofact_OYE_2', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'DUF952', 'NDMA_methanol', 'AAA_5', 'VWA_CoxE', 'SBP_bac_5', 'TAT_signal', 'TAT_signal_seq', 'nickel_nikB']",1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0
WP_125035208.1,zzzz655,"['Acyl-CoA_dh_1', 'Acyl-CoA_dh_N', 'pntA', 'PNTB', 'Lipase_GDSL_2', 'HTH_21', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'Bradykinin', 'actino_HemFlav', 'mycofact_creat', 'SDR_subfam_2', 'mycofact_glyco', 'Phage_integrase', 'protocat_pcaD', 'protocat_pcaD']",1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_220165414.1,zzzz668,"['p450', 'OB_aCoA_assoc', 'DUF35_N', 'AcCoA-C-Actrans', 'DoxX', 'mycofact_glyco', 'SDR_subfam_2', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'HIBADH', 'Amidohydro_3', 'CoA_transf_3', 'ECH_1', 'NAD_binding_2', 'NAD_binding_11', 'HEAT_2', 'HEAT', 'MerR', 'HEAT_2', 'MerR-DNA-bind']",1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_083736087.1,zzzz742,"['TetR_N', 'mycofact_TetR', 'efflux_EmrB', 'Asp_Glu_race', 'Rv0697', 'mycofact_glyco', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Pyr_redox_2', 'Reductase_C', 'HTH_AsnC-type', 'MarR', 'TrmB', 'Orn_aminotrans', 'DUF222', 'SDR_subfam_1']",1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
WP_156618526.1,zzzz807,"['TetR_N', 'efflux_EmrB', 'Asp_Glu_race', 'Rv0697', 'mycofact_glyco', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Sig70_famx2', 'Glyoxalase_6', 'Pyr_redox_2', 'Reductase_C', 'HTH_24', 'HTH_AsnC-type', 'MarR', 'HTH_23', 'DDAH_eukar', 'Orn_aminotrans']",1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
WP_043464391.1,zzzz881,"['Pkinase', 'HTH_37', 'antidote_HigA', 'mycofact_glyco', 'SDR_subfam_2', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'NDMA_methanol', 'AAA_5', 'AAA', 'VWA_CoxE', 'fvmX3', 'Methyltransf_11', 'BioC', 'Response_reg', 'GerE', 'HisKA_3', 'HSCB_C', 'Fe-ADH']",1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1
